month,impressions,engagements,commnents,reactions,clicks
2021-10,7216,459.0,0,168,275
2021-11,2662,74.0,3,22,47
2021-12,3356,151.0,0,90,57
2022-01,8664,550.0,12,259,263
2022-02,2725,134.0,1,47,85
2022-03,14542,842.0,17,376,425
2022-04,67475,2293.0,36,725,1115
2022-05,11311,400.0,0,179,216
2022-06,5492,291.0,3,143,139
2022-07,15234,818.0,10,282,516
2022-08,104132,2428.0,37,563,1266
2022-09,183377,7425.0,35,1003,5700
2022-10,11693,696.0,9,162,520
