month,impressions,engagements
2021-10,7216,459.0
2021-11,2662,74.0
2021-12,3356,151.0
2022-01,8664,550.0
2022-02,2725,134.0
2022-03,14542,842.0
2022-04,67475,2293.0
2022-05,11311,400.0
2022-06,5492,291.0
2022-07,15234,818.0
2022-08,104132,2428.0
2022-09,183377,7425.0
2022-10,11693,696.0
