month,unique_visitors,total_views
2021-10,131,285
2021-11,83,176
2021-12,55,116
2022-01,141,320
2022-02,123,302
2022-03,236,533
2022-04,572,1266
2022-05,182,415
2022-06,159,362
2022-07,289,859
2022-08,866,1998
2022-09,2202,5530
2022-10,261,698
