month,unique_visitors
2021-10,131
2021-11,83
2021-12,55
2022-01,141
2022-02,123
2022-03,236
2022-04,572
2022-05,182
2022-06,159
2022-07,289
2022-08,866
2022-09,2202
2022-10,261
