month,impressions,engagements,comments,reactions,clicks,engagement_rate
2021-10,7216,459.0,0,168,275,1.0654869218999843
2021-11,2662,74.0,3,22,47,0.3771599323171217
2021-12,3356,151.0,0,90,57,0.6716908055576181
2022-01,8664,550.0,12,259,263,1.288641805370194
2022-02,2725,134.0,1,47,85,1.6169310920780724
2022-03,14542,842.0,17,376,425,1.38189582200992
2022-04,67475,2293.0,36,725,1115,1.2213734465444013
2022-05,11311,400.0,0,179,216,0.823687039038475
2022-06,5492,291.0,3,143,139,1.834169938267541
2022-07,15234,818.0,10,282,516,1.5452626510837852
2022-08,104132,2428.0,37,563,1266,0.8978828765120525
2022-09,183377,7425.0,35,1003,5700,1.2333231391566308
2022-10,11693,696.0,9,162,520,0.5531890979048687
