date,impressions_total,clicks_total,reactions_total,comments_total,shares_total,engagement_rate_total
2021-07-31,54,4,0,0,0,0.074
2021-08-01,47,0,0,0,0,0.000
2021-08-02,63,4,1,0,0,0.079
2021-08-03,316,23,6,0,2,0.098
2021-08-04,1572,57,30,10,4,0.064
2021-08-05,697,23,17,2,0,0.060
2021-08-06,198,9,4,0,0,0.066
2021-08-07,104,3,1,0,1,0.048
2021-08-08,106,6,0,0,0,0.057
2021-08-09,849,22,17,4,2,0.053
2021-08-10,256,5,7,0,3,0.059
2021-08-11,1074,28,21,3,2,0.050
2021-08-12,536,10,9,0,1,0.037
2021-08-13,569,13,11,0,0,0.042
2021-08-14,133,4,2,0,0,0.045
2021-08-15,124,2,1,0,0,0.024
2021-08-16,809,8,15,0,1,0.030
2021-08-17,1367,39,17,0,0,0.041
2021-08-18,826,22,20,0,1,0.052
2021-08-19,648,19,14,0,0,0.051
2021-08-20,227,3,5,0,0,0.035
2021-08-21,215,0,1,0,0,0.005
2021-08-22,148,4,2,0,0,0.041
2021-08-23,826,13,14,0,1,0.034
2021-08-24,540,20,3,0,1,0.044
2021-08-25,1641,61,36,1,4,0.062
2021-08-26,1295,44,31,1,6,0.063
2021-08-27,456,19,11,0,3,0.072
2021-08-28,305,10,3,0,1,0.046
2021-08-29,197,2,0,0,0,0.010
2021-08-30,193,2,4,0,0,0.031
2021-08-31,1680,146,74,1,26,0.147
2021-09-01,3441,92,42,3,7,0.044
2021-09-02,1906,56,39,1,14,0.060
2021-09-03,1470,61,26,5,5,0.067
2021-09-04,953,23,8,0,2,0.039
2021-09-05,1940,17,7,0,0,0.013
2021-09-06,3970,27,20,1,1,0.021
2021-09-07,4226,80,41,4,7,0.033
2021-09-08,3940,32,27,2,3,0.018
2021-09-09,5273,43,40,2,3,0.017
2021-09-10,2276,32,22,0,5,0.028
2021-09-11,1178,14,5,0,0,0.020
2021-09-12,1496,11,10,0,0,0.015
2021-09-13,2750,21,22,2,2,0.019
2021-09-14,3884,71,90,3,13,0.047
2021-09-15,3410,52,30,3,3,0.027
2021-09-16,3108,44,20,2,9,0.025
2021-09-17,2525,38,21,0,4,0.026
2021-09-18,1478,20,17,0,4,0.029
2021-09-19,1213,8,13,0,1,0.021
2021-09-20,3203,73,63,0,11,0.047
2021-09-21,1892,69,39,1,8,0.062
2021-09-22,1155,58,22,0,4,0.073
2021-09-23,2086,79,44,2,6,0.063
2021-09-24,895,51,12,3,1,0.075
2021-09-25,372,11,3,0,2,0.043
2021-09-26,277,13,0,0,0,0.047
2021-09-27,2037,81,36,0,5,0.060
2021-09-28,1221,38,17,0,3,0.048
2021-09-29,2666,56,48,3,8,0.043
2021-09-30,2069,85,29,4,0,0.057
2021-10-01,1235,32,19,1,0,0.042
2021-10-02,617,32,1,0,0,0.053
2021-10-03,372,18,1,0,0,0.051
2021-10-04,1422,17,46,0,3,0.046
2021-10-05,582,2,9,0,0,0.019
2021-10-06,324,3,6,0,1,0.031
2021-10-07,234,3,6,0,0,0.038
2021-10-08,202,1,6,0,0,0.035
2021-10-09,116,14,1,0,0,0.129
2021-10-10,114,3,0,0,0,0.026
2021-10-11,1006,69,16,0,0,0.084
