month,impressions_total,clicks_total,reactions_total,comments_total,reposts_total,engagement_rate_total
2021-10,7216,275,168,0,16,1.07
2021-11,2662,47,22,3,2,0.38
2021-12,3356,57,90,0,4,0.66
2022-01,8664,263,259,12,16,1.26
2022-02,2725,85,47,1,1,1.6400000000000001
2022-03,14542,425,376,17,24,1.3900000000000001
2022-04,67475,1115,725,36,56,1.19
2022-05,11311,216,179,0,5,0.8300000000000001
2022-06,5492,139,143,3,6,1.85
2022-07,15234,516,282,10,10,1.53
2022-08,104132,1266,563,37,65,0.88
2022-09,183377,5700,1003,35,63,1.21
2022-10,11693,520,162,9,5,0.54
