date,jobs_page_views_desktop,jobs_page_views_mobile,jobs_page_views_total,jobs_unique_visitors_desktop,jobs_unique_visitors_mobile,jobs_unique_visitors_total,life_page_views_desktop,life_page_views_mobile,life_page_views_total,life_unique_visitors_desktop,life_unique_visitors_mobile,life_unique_visitors_total,overview_page_views_desktop,overview_page_views_mobile,overview_page_views_total,overview_unique_visitors_desktop,overview_unique_visitors_mobile,overview_unique_visitors_total,total_page_views_desktop,total_page_views_mobile,total_page_views_total,total_unique_visitors_desktop,total_unique_visitors_mobile,total_unique_visitors_total
2021-10-11,1,0,1,1,0,1,0,0,0,0,0,0,7,10,17,4,6,10,8,11,19,4,6,10
2021-10-12,0,0,0,0,0,0,0,0,0,0,0,0,5,27,32,4,13,17,5,36,41,4,13,17
2021-10-13,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,9,6,15,14,16,30,9,6,15
2021-10-14,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,2,3,2,5,7,1,2,3
2021-10-15,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,2,5,3,2,5,3,2,5
2021-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,3,0,1,1
2021-10-17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,1,2,2,4,6,1,1,2
2021-10-18,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1,3,4,2,6,2,1,3
2021-10-19,0,1,1,0,1,1,0,0,0,0,0,0,15,13,28,7,7,13,15,14,29,7,7,13
2021-10-20,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,2,3,5,6,5,11,2,3,5
2021-10-21,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17,4,4,8,11,10,21,4,4,8
2021-10-22,0,4,4,0,1,1,0,0,0,0,0,0,7,14,21,5,9,14,7,22,29,5,9,14
2021-10-23,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,2,5,7,3,9,12,2,5,7
2021-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,1,2,3,1,2,3
2021-10-25,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13,2,7,9,2,17,19,2,7,9
2021-10-26,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14,4,2,6,11,5,16,4,2,6
2021-10-27,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16,2,3,5,5,15,20,2,3,5
2021-10-28,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,2,3,1,5,6,1,2,3
2021-10-29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,2,2,0,2
2021-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,0,2,2,0,1,1,0,0,0,0,0,0,1,1,2,1,1,2,2,5,7,1,1,2
2021-11-02,0,2,2,0,2,2,0,0,0,0,0,0,1,4,5,1,3,4,1,6,7,1,3,4
2021-11-03,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,3,4,1,6,7,1,3,4
2021-11-04,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,3,4,1,3,4,1,3,4
2021-11-05,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,3,5,2,3,5,2,3,5
2021-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
2021-11-07,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,3,0,3,1,0,1
2021-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,4,4,0,2,2
2021-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,4,4,0,20,20,0,4,4
2021-11-10,1,0,1,1,0,1,0,0,0,0,0,0,3,1,4,3,1,4,4,1,5,3,1,4
2021-11-11,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,5,1,6,5,1,6,5,1,6
2021-11-12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,2,1,1,2
2021-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,3,0,1,1
2021-11-14,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,1,2,2,3,5,1,1,2
2021-11-15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,6,0,6,3,0,3
2021-11-16,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,1,3,3,1,4,2,1,3
