id,campaigndatecreated,campaignid,campaignname,datecreated,emailclickcount,emailclickcountprecentage,emaildeliveredcount,emailhardbouncecount,emailhardbouncecountprecentage,emailopencount,emailopencountprecentage,emailqueuedcount,emailsentcount,emailsoftbouncecount,emailsoftbouncecountprecentage,emailspambouncecount,emailspambouncecountprecentage,emailuniqueclickcount,emailuniqueclickcountprecentage,emailuniqueopencount,emailuniqueopencountprecentage,emailunsubscribecount,emailunsubscribecountprecentage,hastriggers,istestmode,name,smsbouncecount,smsbouncecountprecentage,smsclickcount,smsclickcountprecentage,smsdeliveredcount,smsqueuedcount,smssentcount,smsuniqueclickcount,smsuniqueclickcountprecentage,smsunsubscribecount,smsunsubscribecountprecentage,stagecount,stageid,totalrevenue,totaltransactions
bb9d1131-ec30-46b2-b86b-8305d798e870,01/07/2020 08:21:57,229794,Email 2: Deadline Reminder,2020-01-07 08:21:57,0,0.00%,0,0,0.00%,0,0.00%,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,False,0,Event Hosts,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,3.0,3b8a9245-f5c0-483a-ae6c-9b58af58d29e,£0.00,0
bb9d1131-ec30-46b2-b86b-8305d798e870,01/07/2020 08:21:57,229795,Email 3: 1 Week until Deadline,2020-01-07 08:21:57,0,0.00%,0,0,0.00%,0,0.00%,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,False,0,Event Hosts,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,3.0,97930464-7a97-42e5-97c6-60adb59c3670,£0.00,0
bb9d1131-ec30-46b2-b86b-8305d798e870,01/07/2020 08:21:57,229793,Email 1: Event submissions are now open!,2020-01-07 08:21:57,505,52.71%,2448,44,1.76%,7343,299.96%,0,2500,7,0.28%,1,0.04%,112,11.69%,958,39.13%,17,0.69%,False,0,Event Hosts,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,3.0,cb5ef208-3b3f-4634-8e53-6d9d395c856b,£0.00,0
227870e3-a04e-435f-8189-4f7dbfb86004,04/08/2020 14:17:38,237480,Event Host 2 Email,2020-04-08 14:17:38,73,81.11%,315,2,0.62%,513,162.86%,0,320,2,0.62%,1,0.31%,23,25.56%,90,28.57%,1,0.32%,False,0,Event Host Email 2 5th August,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,1.0,bba48464-6c92-4666-8786-3047bd958224,£0.00,0
ac3f2770-8be6-4928-8891-4ad073998fc5,06/10/2020 09:08:02,250962,Send Email,2020-06-10 09:08:02,81,103.85%,161,0,0.00%,324,201.24%,0,161,0,0.00%,0,0.00%,15,19.23%,78,48.45%,0,0.00%,False,0,Event Host Email 5 - 5th October,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,1.0,c57d1f8e-e741-45fd-b78d-71203998fe8f,£0.00,0
6ad43048-d68a-4b62-a770-68c7e6c94522,06/10/2020 09:08:02,250961,Send Email,2020-06-10 09:08:02,406,67.89%,2097,8,0.38%,1381,65.86%,0,2123,9,0.42%,9,0.42%,68,11.37%,598,28.52%,8,0.38%,False,0,Attendee Email 5 - 5th October,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,1.0,9f9cfe20-431e-41fe-80fc-a55cfbcf22ed,£0.00,0
4443fd33-9ebf-4621-9779-8caeecea1f95,31/07/2020 15:05:31,236971,Attendee Email 1,2020-07-31 15:05:30,313,32.30%,2207,16,0.72%,2808,127.23%,0,2230,6,0.27%,1,0.04%,144,14.86%,969,43.91%,10,0.45%,False,0,Attendee Email 1 3rd August,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,1.0,54eeed78-caad-444d-9adf-c967ff40c626,£0.00,0
7f602217-fcbb-4c74-927d-8d16ac470b20,18/08/2020 16:11:36,240306,Event Host 3 Email,2020-08-18 16:11:36,79,106.76%,302,2,0.65%,494,163.58%,0,307,2,0.65%,1,0.33%,21,28.38%,74,24.50%,0,0.00%,False,0,Event Host Email 3 - 19th August,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,1.0,3687665e-46c1-4842-a1d7-400b56491b0e,£0.00,0
7a0528bf-7eaa-4217-a833-5a9f54c0e5ae,28/08/2020 17:34:31,242777,Send Email,2020-08-28 17:34:31,675,89.88%,2188,11,0.50%,3615,165.22%,0,2218,9,0.41%,10,0.45%,316,42.08%,751,34.32%,10,0.46%,False,0,Attendee Email 2 - 1st September,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,1.0,36b350b4-1a1a-4350-9cab-883eaeb3f2a6,£0.00,0
ad13d1ed-6f9c-4e19-944d-22c5b978e995,14/09/2020 10:45:55,245586,Send Email,2020-09-14 10:45:55,389,61.84%,2179,2,0.09%,1799,82.56%,0,2198,7,0.32%,10,0.45%,152,24.17%,629,28.87%,9,0.41%,False,0,Attendee Email 3 - 14th September,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,1.0,b65a5b7a-c05c-4037-a62a-212da10a80e1,£0.00,0
