id,name,istestmode,hastriggers,stagecount,emailqueuedcount,emailsentcount,emailopencount,emailopencountprecentage,emailuniqueopencount,emailuniqueopencountprecentage,emailclickcount,emailclickcountprecentage,emailuniqueclickcount,emailuniqueclickcountprecentage,emailhardbouncecount,emailhardbouncecountprecentage,emailsoftbouncecount,emailsoftbouncecountprecentage,emailspambouncecount,emailspambouncecountprecentage,emailunsubscribecount,emailunsubscribecountprecentage,emaildeliveredcount,smsqueuedcount,smssentcount,smsdeliveredcount,smsclickcount,smsclickcountprecentage,smsuniqueclickcount,smsuniqueclickcountprecentage,smsbouncecount,smsbouncecountprecentage,smsunsubscribecount,smsunsubscribecountprecentage,totaltransactions,totalrevenue,datecreated
bb9d1131-ec30-46b2-b86b-8305d798e870,Event Hosts,0,False,3,0,2500,7343,299.96%,958,39.13%,505,52.71%,112,11.69%,44,1.76%,7,0.28%,1,0.04%,17,0.69%,2448,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-01-07 08:21:00
227870e3-a04e-435f-8189-4f7dbfb86004,Event Host Email 2 5th August,0,False,1,0,320,513,162.86%,90,28.57%,73,81.11%,23,25.56%,2,0.62%,2,0.62%,1,0.31%,1,0.32%,315,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-04-08 14:17:00
ac3f2770-8be6-4928-8891-4ad073998fc5,Event Host Email 5 - 5th October,0,False,1,0,161,324,201.24%,78,48.45%,81,103.85%,15,19.23%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,161,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-06-10 09:08:00
6ad43048-d68a-4b62-a770-68c7e6c94522,Attendee Email 5 - 5th October,0,False,1,0,2123,1381,65.86%,598,28.52%,406,67.89%,68,11.37%,8,0.38%,9,0.42%,9,0.42%,8,0.38%,2097,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-06-10 09:08:00
4443fd33-9ebf-4621-9779-8caeecea1f95,Attendee Email 1 3rd August,0,False,1,0,2230,2808,127.23%,969,43.91%,313,32.30%,144,14.86%,16,0.72%,6,0.27%,1,0.04%,10,0.45%,2207,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-07-31 15:05:00
7f602217-fcbb-4c74-927d-8d16ac470b20,Event Host Email 3 - 19th August,0,False,1,0,307,494,163.58%,74,24.50%,79,106.76%,21,28.38%,2,0.65%,2,0.65%,1,0.33%,0,0.00%,302,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-08-18 16:11:00
7a0528bf-7eaa-4217-a833-5a9f54c0e5ae,Attendee Email 2 - 1st September,0,False,1,0,2218,3615,165.22%,751,34.32%,675,89.88%,316,42.08%,11,0.50%,9,0.41%,10,0.45%,10,0.46%,2188,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-08-28 17:34:00
ad13d1ed-6f9c-4e19-944d-22c5b978e995,Attendee Email 3 - 14th September,0,False,1,0,2198,1799,82.56%,629,28.87%,389,61.84%,152,24.17%,2,0.09%,7,0.32%,10,0.45%,9,0.41%,2179,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-09-14 10:45:00
d67663ff-8243-4add-b910-b48212d71eb8,Attendee Email 4 - 21st September,0,False,1,0,2311,1772,77.45%,702,30.68%,450,64.10%,175,24.93%,7,0.30%,7,0.30%,9,0.39%,9,0.39%,2288,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2020-09-17 14:07:00
286de4d9-de9b-489d-bd73-02a3b361c406,LDF April Thank You & Sept Push 04/05,0,False,2,0,4854,2627,54.58%,1036,21.53%,1341,129.44%,140,13.51%,8,0.16%,15,0.31%,18,0.37%,22,0.46%,4813,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,£0.00,2021-04-05 13:36:00
