date,tweets_published,impressions,engagements,engagement_rate,retweets,replies,likes,user_profile_clicks,url_clicks,hashtag_clicks,detail_expands,permalink_clicks,app_opens,app_installs,follows,email_tweet,dial_phone,media_views,media_engagements,promoted_impressions,promoted_engagements,promoted_engagement_rate,promoted_retweets,promoted_replies,promoted_likes,promoted_user_profile_clicks,promoted_url_clicks,promoted_hashtag_clicks,promoted_detail_expands,promoted_permalink_clicks,promoted_app_opens,promoted_app_installs,promoted_follows,promoted_email_tweet,promoted_dial_phone,promoted_media_views,promoted_media_engagements
2021-02-02,0,265,1,0.0037735849056603,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-02-03,0,182,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-02-04,0,239,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-02-05,0,187,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-02-06,0,149,1,0.0067114093959731,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-02-07,0,106,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-02-08,0,269,3,0.0111524163568773,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
2021-02-09,0,482,1,0.0020746887966804,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-02-10,0,391,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-02-11,0,205,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-02-12,0,193,1,0.005181347150259,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-02-13,0,260,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-02-14,0,143,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-02-15,0,252,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-02-16,0,175,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-02-17,0,301,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-02-18,0,275,2,0.0072727272727272,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-02-19,0,2891,66,0.0228294707713593,7,0,19,7,8,0,18,0,0,0,0,0,0,8,7,,,,,,,,,,,,,,,,,,
2021-02-20,0,551,4,0.0072595281306715,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,,,,,,,,,,,,,,,,,,
2021-02-21,0,182,2,0.0109890109890109,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-02-22,0,1466,19,0.0129604365620736,4,0,6,0,1,0,3,0,0,0,0,0,0,9,5,,,,,,,,,,,,,,,,,,
2021-02-23,0,524,11,0.0209923664122137,0,0,2,1,4,0,1,0,0,0,0,0,0,7,3,,,,,,,,,,,,,,,,,,
2021-02-24,0,6651,133,0.0199969929333934,16,1,17,7,31,0,51,0,0,0,0,0,0,13,10,,,,,,,,,,,,,,,,,,
2021-02-25,0,3175,74,0.0233070866141732,2,1,4,4,21,0,36,0,0,0,0,0,0,46,6,,,,,,,,,,,,,,,,,,
