month,users,page_views,unique_page_views
2021-10,2388,4769,0
2021-11,850,1801,0
2021-12,647,1236,0
2022-01,1373,4047,0
2022-02,1529,4455,0
2022-03,3182,9767,0
2022-04,8106,17365,0
2022-05,1556,4384,0
2022-06,2152,5103,0
2022-07,4650,11392,0
2022-08,17714,54322,0
2022-09,32288,93240,25669
2022-10,2893,5211,4635
